Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Mantyke,72.5,458,water,flying,100.8,163,120,1972572,50,Bubble,Aerial Ace,Ice Beam,5,5,5,10000
Torterra,72.5,389,grass,ground,120.5,117.6,131,1857185,19,Razor Leaf,Frenzy Plant,Stone Edge,12,14,3,10000
Geodude (Alolan),72.4,74,rock,electric,123.5,123.5,113,1724177,50,Volt Switch,Rock Slide,Thunderbolt,3,4,1,10000
Golurk (Shadow),72.4,623,ground,ghost,133.9,96.7,129,1671084,19.5,Mud Slap,Shadow Punch,Earth Power,5,7,5,75000
Nuzleaf,72.4,274,grass,dark,125.2,78.1,157,1536164,50,Feint Attack,Leaf Blade,Foul Play,6,8,3,50000
Arcanine (Shadow),72.3,59,fire,none,132.7,104,122,1683972,18.5,Snarl,Wild Charge,Psychic Fangs,4,3,3,50000
Machop,72.3,66,fighting,none,127.7,81.5,157,1634495,50,Karate Chop,Cross Chop,Return,5,9,3,50000
Aggron (Shadow),72.2,306,steel,rock,116.1,154,107,1912293,18.5,Smack Down,Stone Edge,Thunder,7,8,1,10000
Bisharp,72.2,625,dark,steel,139.2,111.5,103,1598638,19.5,Snarl,Dark Pulse,X-Scissor,4,3,5,75000
Machop (Shadow),72,66,fighting,none,127.7,81.5,157,1634495,50,Karate Chop,Cross Chop,Brick Break,5,5,3,50000
Magmortar,72,467,fire,none,141.4,103.4,108,1578615,17.5,Karate Chop,Fire Punch,Thunderbolt,5,7,5,75000
Moltres (Shadow),72,146,fire,flying,136.3,102.6,117,1635633,16,Fire Spin,Sky Attack,Overheat,5,6,20,100000
Nidorino,72,33,poison,none,124.2,103.7,140,1803300,46.5,Poison Jab,Sludge Bomb,Ice Beam,8,8,3,50000
Pumpkaboo (Average),72,710,ghost,grass,114.3,116,126,1669772,50,Razor Leaf,Grass Knot,Foul Play,13,12,5,75000
Turtwig (Shadow),72,387,grass,none,112.6,105,135,1596678,50,Razor Leaf,Body Slam,Seed Bomb,9,10,3,10000
Arcanine,71.9,59,fire,none,132.7,104,122,1683972,18.5,Snarl,Wild Charge,Psychic Fangs,4,3,3,50000
Lairon (Shadow),71.9,305,steel,rock,114.5,142.8,120,1962204,28,Metal Claw,Rock Slide,Body Slam,8,6,1,10000
Scyther (Shadow),71.9,123,bug,flying,134.9,110.7,111,1657053,20.5,Fury Cutter,Night Slash,X-Scissor,9,9,5,75000
Claydol,71.8,344,ground,psychic,102.7,173.3,121,2153472,28.5,Confusion,Earth Power,Shadow Ball,5,5,3,50000
Graveler,71.8,75,rock,ground,122.9,127.3,117,1831093,30,Mud Shot,Rock Slide,Rock Blast,5,5,1,10000
Manectric,71.8,310,electric,none,142.5,91.3,120,1561030,23.5,Snarl,Wild Charge,Psychic Fangs,4,3,3,50000
Manectric (Shadow),71.8,310,electric,none,142.5,91.3,120,1561030,23.5,Snarl,Wild Charge,Psychic Fangs,4,3,3,50000
Slowpoke (Galarian),71.8,79,psychic,none,104.2,95,186,1840271,50,Confusion,Surf,Psyshock,4,4,3,50000
Comfey,71.7,764,fairy,none,116.9,155.4,105,1907768,26.5,Vine Whip,Grass Knot,Draining Kiss,7,7,3,50000
Darmanitan (Standard),71.7,555,fire,none,151.3,71.4,137,1480445,18,Incinerate,Rock Slide,Overheat,3,3,3,50000
Dustox,71.7,269,bug,poison,95,148.7,142,2005436,50,Confusion,Sludge Bomb,Silver Wind,5,4,1,10000
Furfrou,71.6,676,normal,none,116.6,122.9,134,1919933,27,Sucker Punch,Surf,Grass Knot,6,8,5,75000
Cryogonal,71.3,615,ice,none,116.5,136.2,121,1919929,20,Ice Shard,Night Slash,Aurora Beam,4,6,5,75000
Torkoal,71.3,324,fire,none,107.6,151.3,127,2067715,27,Fire Spin,Overheat,Earthquake,6,7,3,50000
Vibrava (Shadow),71.3,329,ground,dragon,125.2,95.8,127,1523223,50,Dragon Breath,Sand Tomb,Bug Buzz,14,20,5,75000
Weepinbell (Shadow),71.3,70,grass,poison,137.8,84.3,139,1614019,39.5,Bullet Seed,Power Whip,Seed Bomb,4,4,3,50000
Exeggutor (Alolan),71.2,103,grass,dragon,134.4,94.2,131,1659647,18.5,Dragon Tail,Seed Bomb,Draco Meteor,5,8,3,50000
Smoochum,71.2,238,ice,psychic,141.2,89.1,120,1508916,50,Powder Snow,Ice Punch,Psyshock,5,6,5,10000
Staraptor,71.2,398,normal,flying,140.4,90.8,124,1581461,19.5,Quick Attack,Brave Bird,Close Combat,7,6,1,10000
Tangela,71.2,114,grass,none,125,121.7,117,1778920,24.5,Vine Whip,Grass Knot,Sludge Bomb,7,7,3,50000
Weavile,71.2,461,dark,ice,143.1,103.4,106,1568420,18.5,Snarl,Avalanche,Foul Play,4,4,3,50000
Amoonguss,71.1,591,grass,poison,110.4,102,181,2038411,27,Feint Attack,Grass Knot,Foul Play,9,8,3,50000
Combusken,71.1,256,fire,fighting,131,99.6,131,1710523,39,Ember,Flame Charge,Rock Slide,9,8,3,10000
Furret,71.1,162,normal,none,116.1,105.4,158,1933854,34.5,Quick Attack,Brick Break,Hyper Beam,5,10,1,10000
Weavile (Shadow),71,461,dark,ice,143.1,103.4,106,1568420,18.5,Snarl,Avalanche,Foul Play,4,4,3,50000
Clamperl,70.9,366,water,none,124.4,126,105,1645929,50,Water Gun,Body Slam,Ice Beam,12,19,3,50000
Mightyena,70.9,262,dark,none,125.9,104.3,134,1759749,29,Ice Fang,Crunch,Poison Fang,9,7,1,10000
Ponyta,70.9,77,fire,none,134.8,109.4,113,1666179,36.5,Ember,Flame Charge,Stomp,9,7,3,50000
Dusknoir,70.8,477,ghost,none,119.8,172.9,90,1864291,23.5,Hex,Shadow Ball,Dark Pulse,5,5,3,50000
Rayquaza,70.8,384,dragon,flying,146.5,92,113,1522152,14,Dragon Tail,Outrage,Aerial Ace,7,5,20,100000
Greninja,70.7,658,water,dark,139.6,101.6,113,1602682,21,Bubble,Night Slash,Surf,4,4,3,10000
Ho-Oh,70.7,250,fire,flying,123.6,128.2,114,1806501,14.5,Incinerate,Brave Bird,Earthquake,3,4,20,100000
Infernape,70.7,392,fire,fighting,136.7,100.4,118,1619407,20.5,Fire Spin,Close Combat,Blast Burn,5,5,3,10000
Nidorino (Shadow),70.7,33,poison,none,124.2,103.7,140,1803300,46.5,Poison Jab,Sludge Bomb,Ice Beam,8,8,3,50000
Electabuzz,70.6,125,electric,none,130.9,112.6,115,1694299,24,Thunder Shock,Thunder Punch,Return,5,8,5,75000
Incineroar,70.6,727,fire,dark,125.8,106.9,132,1775070,18.5,Double Kick,Dark Pulse,Flame Charge,5,5,3,10000
Basculin,70.5,550,water,none,134,96.5,129,1667480,27,Water Gun,Aqua Tail,Muddy Water,12,12,1,10000
Hippowdon (Shadow),70.5,450,ground,none,116.2,116.8,141,1912627,18,Fire Fang,Weather Ball (Rock),Earth Power,7,11,3,50000
Pumpkaboo (Small),70.4,710,ghost,grass,115.1,116.8,119,1600115,50,Razor Leaf,Grass Knot,Foul Play,13,12,5,75000
Banette (Shadow),70.3,354,ghost,none,146.8,89.3,117,1533076,24.5,Shadow Claw,Shadow Ball,Thunder,7,8,3,50000
Garchomp,70.3,445,dragon,ground,132.5,102.5,124,1683122,14,Dragon Tail,Sand Tomb,Outrage,5,7,5,75000
Aggron,70.2,306,steel,rock,116.1,154,107,1912293,18.5,Smack Down,Stone Edge,Thunder,7,8,1,10000
Armaldo (Shadow),70.2,348,rock,bug,133.3,110.9,113,1670643,19.5,Fury Cutter,Rock Blast,Cross Poison,10,9,3,50000
Growlithe,70.2,58,fire,none,126.9,90.8,135,1554545,50,Ember,Body Slam,Flamethrower,6,10,3,50000
Houndoom,70.2,229,dark,fire,140.8,94.9,119,1589764,21,Snarl,Crunch,Flamethrower,4,5,3,50000
Tranquill,70.2,520,normal,flying,124,101.4,143,1797495,49.5,Air Slash,Sky Attack,Aerial Ace,5,5,1,10000
Espeon,70.1,196,psychic,none,147.6,104.1,98,1505910,17,Confusion,Psychic Fangs,Shadow Ball,3,5,5,75000
Magmar (Shadow),70.1,126,fire,none,136.6,107.5,112,1645117,23.5,Ember,Fire Punch,Flamethrower,7,10,5,75000
Kingdra,70,230,water,dragon,121.8,126.1,119,1828072,21,Dragon Breath,Outrage,Octazooka,20,17,3,50000
Ninjask,70,291,bug,flying,144.2,89.1,120,1541269,28,Fury Cutter,Aerial Ace,Shadow Ball,12,14,5,75000
Purugly,70,432,normal,none,125.5,105.5,133,1762021,28.5,Shadow Claw,Aerial Ace,Thunder,6,8,3,50000
Weepinbell,70,70,grass,poison,137.8,84.3,139,1614019,39.5,Bullet Seed,Power Whip,Seed Bomb,4,4,3,50000
Cloyster (Shadow),69.9,91,water,ice,119.7,166,94,1867851,22,Ice Shard,Icy Wind,Hydro Pump,5,8,3,50000
Latias (Shadow),69.9,380,dragon,psychic,124.5,137.9,105,1802286,16,Dragon Breath,Mist Ball,Thunder,20,20,20,100000
Tangela (Shadow),69.9,114,grass,none,125,121.7,117,1778920,24.5,Vine Whip,Grass Knot,Sludge Bomb,7,7,3,50000
Dusknoir (Shadow),69.8,477,ghost,none,119.8,172.9,90,1864291,23.5,Hex,Shadow Ball,Dark Pulse,5,5,3,50000
Entei,69.8,244,fire,none,128.8,96.2,141,1746495,16,Fire Spin,Flame Charge,Overheat,5,6,20,100000
Oddish,69.8,43,grass,poison,122.7,106.7,120,1571110,50,Razor Leaf,Seed Bomb,Sludge Bomb,10,13,3,50000
Parasect,69.8,47,bug,grass,124.2,118.3,122,1792012,30.5,Fury Cutter,X-Scissor,Cross Poison,9,9,3,50000
Dugtrio (Alolan) (Shadow),69.7,51,ground,steel,148.9,111.5,90,1494460,29,Mud Slap,Mud Bomb,Iron Head,5,7,3,50000
Metagross,69.7,376,steel,psychic,132.8,123.6,102,1674069,14.5,Bullet Punch,Meteor Mash,Psychic,8,8,5,75000
Vikavolt,69.7,738,bug,electric,146.4,94.4,111,1534869,17.5,Spark,X-Scissor,Discharge,5,6,1,10000
Karrablast,69.6,588,bug,none,127.7,85.7,127,1390325,50,Fury Cutter,Drill Run,X-Scissor,12,9,3,50000
Klinklang,69.6,601,steel,none,124.9,140.2,102,1785632,21,Thunder Shock,Mirror Shot,Zap Cannon,4,9,5,75000
Chandelure,69.5,609,ghost,fire,151.4,106.9,91,1472749,16.5,Incinerate,Flame Charge,Shadow Ball,3,3,5,75000
Kingdra (Shadow),69.5,230,water,dragon,121.8,126.1,119,1828072,21,Dragon Breath,Outrage,Octazooka,20,17,3,50000
Lairon,69.5,305,steel,rock,114.5,142.8,120,1962204,28,Metal Claw,Rock Slide,Body Slam,8,6,1,10000
Porygon2 (Shadow),69.5,233,normal,none,123.7,115.7,127,1816950,21,Lock On,Tri Attack,Zap Cannon,10,16,3,50000
Raticate,69.5,20,normal,none,125.9,115.3,122,1771626,34.5,Quick Attack,Hyper Fang,Return,7,9,1,10000
Turtwig,69.5,387,grass,none,112.6,105,135,1596678,50,Razor Leaf,Body Slam,Seed Bomb,9,10,3,10000
Vibrava,69.5,329,ground,dragon,125.2,95.8,127,1523223,50,Dragon Breath,Sand Tomb,Bug Buzz,14,20,5,75000
Alakazam,69.4,65,psychic,none,157,103.1,88,1425029,18,Counter,Fire Punch,Shadow Ball,6,8,3,50000
Alakazam (Shadow),69.4,65,psychic,none,157,103.1,88,1425029,18,Counter,Fire Punch,Shadow Ball,6,8,3,50000
Shelgon (Shadow),69.4,372,dragon,none,123.3,118.4,123,1795453,27.5,Dragon Breath,Flamethrower,Dragon Pulse,19,20,5,75000
Tyrantrum,69.4,697,rock,dragon,130.2,113.4,116,1713446,17.5,Dragon Tail,Stone Edge,Crunch,7,5,5,75000
Golurk,69.2,623,ground,ghost,133.9,96.7,129,1671084,19.5,Mud Slap,Shadow Punch,Earth Power,5,7,5,75000
Corsola,69.1,222,water,rock,109.3,141.6,133,2057200,47.5,Bubble,Rock Blast,Bubble Beam,4,4,3,50000
Golem,69.1,76,rock,ground,125.2,121.7,117,1782513,19,Mud Shot,Earthquake,Stone Edge,8,7,1,10000
Heatmor,69.1,631,fire,none,133.3,91.6,136,1660290,23,Fire Spin,Flamethrower,Thunder Punch,6,4,3,50000
Slowbro (Galarian),69.1,80,poison,psychic,119.1,108.4,145,1871629,22.5,Poison Jab,Sludge Bomb,Focus Blast,8,11,3,50000
Staraptor (Shadow),69.1,398,normal,flying,140.4,90.8,124,1581461,19.5,Quick Attack,Brave Bird,Close Combat,7,6,1,10000
Torracat,69.1,726,fire,none,136.6,89.5,134,1638022,34.5,Ember,Flame Charge,Crunch,9,8,3,10000
Braixen,69,654,fire,none,130.4,106.7,123,1710666,31.5,Ember,Flame Charge,Psyshock,9,8,3,10000
Charmeleon,69,5,fire,none,127.1,109.1,127,1760642,39,Ember,Fire Punch,Return,7,12,3,10000
Aron (Shadow),68.8,304,steel,rock,114.3,131.1,127,1902550,50,Tackle,Body Slam,Iron Head,12,17,1,10000
Monferno,68.8,391,fire,fighting,129.6,95.4,139,1719672,41,Ember,Flamethrower,Low Sweep,10,7,3,10000
Vanillish,68.8,583,ice,none,124.1,119.3,122,1805667,41,Frost Breath,Icy Wind,Signal Beam,9,11,3,50000
Dwebble,68.7,557,bug,rock,111.8,120.2,127,1705533,50,Smack Down,X-Scissor,Rock Blast,5,5,1,10000
Murkrow,68.7,198,dark,flying,143.5,80.9,134,1554945,40.5,Feint Attack,Drill Peck,Foul Play,7,8,3,50000
Glaceon,68.6,471,ice,none,137.2,124.1,96,1634258,18,Ice Shard,Avalanche,Icy Wind,5,5,5,75000
Growlithe (Hisuian),68.6,58,fire,rock,131.9,89.9,142,1684382,50,Ember,Rock Slide,Flamethrower,8,10,3,50000
Kingler,68.6,99,water,none,143.9,115,93,1539736,19.5,Mud Shot,Crabhammer,X-Scissor,6,4,3,50000
Simipour,68.6,516,water,none,136.6,94.5,126,1627774,23.5,Water Gun,Surf,Crunch,14,15,3,50000
Camerupt,68.5,323,fire,ground,134.9,101.2,122,1665522,25.5,Incinerate,Earth Power,Overheat,3,3,3,50000
Darumaka (Galarian),68.5,554,ice,none,132,83.5,154,1697707,49,Ice Fang,Ice Punch,Ice Beam,8,11,3,50000
Eelektrik,68.5,603,electric,none,123.2,110.9,133,1818238,36.5,Spark,Crunch,Discharge,6,6,1,10000
Entei (Shadow),68.5,244,fire,none,128.8,96.2,141,1746495,16,Fire Spin,Flame Charge,Overheat,5,6,20,100000
Stufful,68.5,759,normal,fighting,125.2,90.8,157,1783933,50,Tackle,Superpower,Stomp,14,14,1,10000
Breloom,68.4,286,grass,fighting,150.6,97.3,101,1480402,21,Counter,Dynamic Punch,Grass Knot,8,8,3,50000
Omanyte (Shadow),68.4,138,rock,water,129.2,131.7,102,1735737,44.5,Mud Shot,Rock Blast,Ancient Power,5,5,5,75000
Pyroar,68.4,668,fire,normal,135,98,125,1653456,20,Fire Fang,Flame Charge,Overheat,10,11,3,10000
Sharpedo,68.4,319,water,dark,166.6,64.8,124,1338010,25.5,Waterfall,Crunch,Poison Fang,6,5,3,50000
Aerodactyl (Shadow),68.3,142,rock,flying,135,103.9,118,1656037,20,Rock Throw,Rock Slide,Earth Power,9,11,5,75000
Masquerain,68.3,284,bug,flying,130.3,107.8,122,1712792,24.5,Air Slash,Bubble Beam,Lunge,5,5,1,10000
Metagross (Shadow),68.3,376,steel,psychic,132.8,123.6,102,1674069,14.5,Bullet Punch,Meteor Mash,Psychic,8,8,5,75000
Onix,68.3,95,rock,ground,84,207.6,105,1831281,50,Rock Throw,Rock Slide,Sand Tomb,9,8,5,75000
Porygon,68.3,137,normal,none,120.8,114.7,134,1856061,35.5,Quick Attack,Discharge,Hyper Beam,6,10,3,50000
Quilava (Shadow),68.3,156,fire,none,127.1,109.1,127,1760642,39,Ember,Flame Charge,Flamethrower,9,10,3,10000
Graveler (Shadow),68.2,75,rock,ground,122.9,127.3,117,1831093,30,Rock Throw,Rock Slide,Rock Blast,9,8,1,10000
Latias,68.2,380,dragon,psychic,124.5,137.9,105,1802286,16,Dragon Breath,Mist Ball,Thunder,20,20,20,100000
Scyther,68.2,123,bug,flying,134.9,110.7,111,1657053,20.5,Fury Cutter,Night Slash,X-Scissor,9,9,5,75000
Brionne,68.1,729,water,none,124.8,115.4,123,1770908,29.5,Charm,Disarming Voice,Aqua Jet,8,8,3,10000
Cinccino,68.1,573,normal,none,135.5,95.9,127,1650504,24.5,Charm,Aqua Tail,Thunderbolt,6,10,3,50000
Kabutops,68.1,141,rock,water,135.5,121,100,1638836,20.5,Mud Shot,Stone Edge,Ancient Power,7,5,5,75000
Magby,68.1,240,fire,none,139.5,95.8,120,1603478,50,Karate Chop,Fire Punch,Brick Break,5,5,5,10000
Plusle,68.1,311,electric,none,129.2,107.3,125,1733312,34,Spark,Thunderbolt,Grass Knot,7,7,3,50000
Sneasel,68.1,215,dark,ice,135.5,110.7,110,1649923,26.5,Ice Shard,Avalanche,Foul Play,5,5,3,50000
Stantler,68.1,234,normal,none,132.8,98.1,129,1680704,26,Tackle,Wild Charge,Stomp,15,14,3,50000
Suicune,68.1,245,water,none,107.4,141.9,137,2089025,18.5,Snarl,Bubble Beam,Hydro Pump,4,6,20,100000
Emboar,68,500,fire,fighting,137.9,79.9,147,1618930,18.5,Ember,Blast Burn,Rock Slide,9,8,3,10000
Golett (Shadow),68,622,ground,ghost,119.3,89.9,141,1512725,50,Mud Slap,Shadow Punch,Brick Break,5,5,5,75000
Ho-Oh (Shadow),68,250,fire,flying,123.6,128.2,114,1806501,14.5,Incinerate,Brave Bird,Earthquake,3,4,20,100000
Amoonguss (Shadow),67.9,591,grass,poison,110.4,102,181,2038411,27,Feint Attack,Grass Knot,Foul Play,9,8,3,50000
Rotom (Wash),67.9,479,electric,water,129.2,143.2,93,1720709,21,Thunder Shock,Thunderbolt,Hydro Pump,7,9,5,75000
Slowpoke,67.9,79,water,psychic,104.2,95,186,1840271,50,Confusion,Psyshock,Water Pulse,4,5,3,50000
Stoutland,67.9,508,normal,none,125.8,114.7,124,1788973,19,Lick,Wild Charge,Crunch,15,15,1,10000
Aron,67.8,304,steel,rock,114.3,131.1,127,1902550,50,Tackle,Body Slam,Iron Head,12,17,1,10000
Camerupt (Shadow),67.8,323,fire,ground,134.9,101.2,122,1665522,25.5,Incinerate,Overheat,Earth Power,3,3,3,50000
Flareon,67.8,136,fire,none,141.7,110,100,1557872,18,Fire Spin,Superpower,Flamethrower,4,6,5,75000
Klang,67.8,600,steel,none,114.1,137,125,1954283,31.5,Thunder Shock,Thunderbolt,Vise Grip,7,5,5,75000
Gothitelle,67.7,576,psychic,none,116.6,137.3,120,1920338,23.5,Confusion,Rock Slide,Psychic,4,5,3,50000
Kangaskhan,67.7,115,normal,none,115.9,112.8,148,1934823,22,Mud Slap,Crunch,Stomp,6,5,3,50000
Jolteon,67.6,135,electric,none,138.6,113,103,1612419,19,Volt Switch,Discharge,Last Resort,3,4,5,75000
Zoroark,67.6,571,dark,none,157.9,86.9,103,1414071,21,Shadow Claw,Foul Play,Sludge Bomb,6,7,5,75000
Rhyperior,67.5,464,ground,rock,126.8,105.5,132,1766090,15,Mud Slap,Rock Wrecker,Surf,7,5,3,50000
Arcanine (Hisuian),67.4,59,fire,rock,132.4,100,127,1682540,17.5,Snarl,Wild Charge,Rock Slide,4,4,3,50000
Metang,67.4,375,steel,psychic,108.9,145.5,129,2043486,35,Metal Claw,Psyshock,Gyro Ball,8,10,5,75000
Teddiursa (Shadow),67.4,216,normal,none,130.2,90.8,142,1678466,50,Lick,Cross Chop,Crunch,12,15,3,50000
Armaldo,67.3,348,rock,bug,133.3,110.9,113,1670643,19.5,Fury Cutter,Rock Blast,Cross Poison,10,9,3,50000
Mr. Rime,67.3,866,ice,psychic,129,114.1,118,1737399,20,Confusion,Icy Wind,Psychic,4,5,5,75000
Onix (Shadow),67.3,95,rock,ground,84,207.6,105,1831281,50,Rock Throw,Rock Slide,Sand Tomb,9,8,5,75000
Wartortle (Shadow),67.3,8,water,none,107.9,137.8,139,2067932,48,Water Gun,Ice Beam,Hydro Pump,19,25,3,10000
Bulbasaur (Shadow),67.2,1,grass,poison,111.8,105.9,120,1419947,50,Vine Whip,Power Whip,Seed Bomb,7,5,3,10000
Pignite,67.2,499,fire,fighting,128.4,84.2,161,1740293,29.5,Ember,Flame Charge,Rock Tomb,9,10,3,10000
Suicune (Shadow),67.2,245,water,none,107.4,141.9,137,2089025,18.5,Snarl,Bubble Beam,Hydro Pump,4,6,20,100000
Lombre,67.1,271,water,grass,106.7,112.6,142,1706340,50,Bubble,Grass Knot,Ice Beam,5,5,3,50000
Murkrow (Shadow),67.1,198,dark,flying,143.5,80.9,134,1554945,40.5,Feint Attack,Drill Peck,Foul Play,7,8,3,50000
Rhydon,67.1,112,ground,rock,126.7,102.4,136,1765046,17,Mud Slap,Stone Edge,Surf,7,5,3,50000
Salamence (Shadow),67.1,373,dragon,flying,142.9,92.6,117,1548425,14.5,Dragon Tail,Outrage,Hydro Pump,7,9,5,75000
Snover,67.1,459,grass,ice,109.2,100.8,142,1564162,50,Powder Snow,Ice Beam,Energy Ball,7,7,3,50000
Stantler (Shadow),67.1,234,normal,none,132.8,98.1,129,1680704,26,Tackle,Wild Charge,Stomp,15,14,3,50000
Dugtrio (Alolan),67,51,ground,steel,148.9,111.5,90,1494460,29,Mud Slap,Mud Bomb,Iron Head,5,7,3,50000
Gabite,67,444,dragon,ground,128.8,101,133,1729456,30,Mud Shot,Flamethrower,Twister,7,5,5,75000
Gothorita,67,575,psychic,none,112.5,130.8,135,1986960,41.5,Confusion,Psychic,Future Sight,5,6,3,50000
Sliggoo,66.8,705,dragon,none,115.2,132.6,127,1940188,27,Water Gun,Muddy Water,Dragon Pulse,12,20,5,75000
Archeops,66.7,567,rock,flying,160.6,81.4,106,1385816,16.5,Wing Attack,Dragon Claw,Ancient Power,5,7,5,75000
Magmar,66.7,126,fire,none,136.6,107.5,112,1645117,23.5,Ember,Fire Punch,Return,7,12,5,75000
Exeggutor,66.6,103,grass,psychic,136.7,93.7,128,1639303,18.5,Bullet Seed,Seed Bomb,Psychic,4,5,3,50000
Gigalith,66.6,526,rock,none,127.2,118.4,116,1747772,17,Smack Down,Superpower,Meteor Beam,5,8,3,50000
Persian (Alolan),66.6,53,dark,none,123,113.2,131,1823635,33,Feint Attack,Foul Play,Play Rough,8,10,3,50000
Archen,66.5,566,rock,flying,160.1,76,115,1399059,31,Wing Attack,Dragon Claw,Ancient Power,5,7,5,75000
Tyranitar (Shadow),66.5,248,rock,dark,130.2,109.4,121,1723417,14.5,Smack Down,Crunch,Stone Edge,6,7,5,75000
Mismagius,66.4,429,ghost,none,133.8,120.8,104,1680621,21.5,Hex,Shadow Ball,Dark Pulse,5,5,3,50000
Garbodor,66.3,569,poison,none,121.7,114.6,132,1842015,23.5,Infestation,Body Slam,Seed Bomb,3,4,3,50000
Lilligant,66.3,549,grass,none,135,105.3,115,1635127,21.5,Charm,Petal Blizzard,Hyper Beam,11,14,1,10000
Quilava,66.3,156,fire,none,127.1,109.1,127,1760642,39,Ember,Flame Charge,Return,9,12,3,10000
Wormadam (Sandy),66.3,413,bug,ground,109.9,146.8,126,2032523,33.5,Bug Bite,Bug Buzz,Bulldoze,20,20,1,10000
Exeggcute (Shadow),66.2,102,grass,psychic,102.5,117.6,142,1712557,50,Bullet Seed,Seed Bomb,Psychic,4,5,3,50000
Eelektross,66.1,604,electric,none,134.4,98,127,1672478,20,Spark,Dragon Claw,Crunch,5,6,1,10000
Misdreavus (Shadow),66.1,200,ghost,none,124.1,119,122,1801213,29.5,Hex,Dark Pulse,Shadow Sneak,5,4,3,50000
Togetic,66.1,176,fairy,flying,110.6,150,122,2023327,37,Hidden Power (Flying),Aerial Ace,Ancient Power,6,6,3,50000
Frillish,66,592,water,ghost,109.2,125.2,135,1846427,50,Hex,Ice Beam,Ominous Wind,5,4,3,50000
Hippopotas,66,449,ground,none,115.3,111.1,152,1946522,49,Tackle,Body Slam,Rock Tomb,12,20,3,50000
Sunflora,66,192,grass,none,128.7,102.2,131,1723173,26,Bullet Seed,Leaf Storm,Sludge Bomb,5,4,3,50000
Frogadier,65.9,657,water,none,135.4,99.2,123,1653012,39.5,Bubble,Surf,Aerial Ace,4,5,3,10000
Seel,65.9,86,water,none,84,114.3,149,1430849,50,Water Gun,Aqua Tail,Icy Wind,12,15,3,50000
Slowbro,65.9,80,water,psychic,113.4,120.9,143,1961133,22,Confusion,Psychic,Ice Beam,5,5,3,50000
Wormadam (Plant),65.9,413,bug,grass,109.9,146.8,126,2032523,33.5,Bug Bite,Energy Ball,Bug Buzz,19,20,1,10000
Chimecho,65.8,358,psychic,none,120.2,120.2,129,1864669,25,Extrasensory,Psyshock,Shadow Ball,5,6,5,75000
Exeggutor (Shadow),65.8,103,grass,psychic,136.7,93.7,128,1639303,18.5,Bullet Seed,Seed Bomb,Psychic,4,5,3,50000
Stunky (Shadow),65.8,434,poison,dark,114.3,88.2,147,1482226,50,Bite,Crunch,Sludge Bomb,23,25,3,50000
Teddiursa,65.8,216,normal,none,130.2,90.8,142,1678466,50,Lick,Cross Chop,Crunch,12,15,3,50000
Toucannon,65.8,733,normal,flying,137.3,96.8,122,1620926,20.5,Bullet Seed,Drill Peck,Rock Blast,4,4,1,10000
Espurr,65.7,677,psychic,none,113.4,108.4,145,1783036,50,Confusion,Psyshock,Energy Ball,4,5,3,50000
Liepard (Shadow),65.7,510,dark,none,140.9,89.3,126,1585005,31,Snarl,Dark Pulse,Play Rough,4,5,1,10000
Skrelp,65.7,690,poison,water,104.2,104.2,127,1378846,50,Water Gun,Aqua Tail,Sludge Bomb,12,17,3,50000
Slowbro (Shadow),65.7,80,water,psychic,113.4,120.9,143,1961133,22,Confusion,Psychic,Ice Beam,5,5,3,50000
Golett,65.6,622,ground,ghost,119.3,89.9,141,1512725,50,Mud Slap,Shadow Punch,Brick Break,5,5,5,75000
Metang (Shadow),65.5,375,steel,psychic,108.9,145.5,129,2043486,35,Metal Claw,Psyshock,Gyro Ball,8,10,5,75000
Sandshrew (Shadow),65.5,27,ground,none,118.5,113.4,127,1706968,50,Mud Shot,Rock Slide,Sand Tomb,5,5,3,50000
Slowking (Shadow),65.5,199,water,psychic,113.4,120.9,143,1961133,22,Confusion,Psychic,Blizzard,5,7,3,50000
Slowpoke (Shadow),65.5,79,water,psychic,104.2,95,186,1840271,50,Confusion,Psyshock,Water Pulse,4,5,3,50000
Snover (Shadow),65.5,459,grass,ice,109.2,100.8,142,1564162,50,Powder Snow,Ice Beam,Energy Ball,7,7,3,50000
Aerodactyl,65.4,142,rock,flying,135,103.9,118,1656037,20,Rock Throw,Rock Slide,Earth Power,9,11,5,75000
Geodude (Shadow),65.4,74,rock,ground,123.5,123.5,113,1724177,50,Rock Throw,Rock Slide,Dig,9,16,1,10000
Sneasel (Shadow),65.4,215,dark,ice,135.5,110.7,110,1649923,26.5,Ice Shard,Avalanche,Foul Play,5,5,3,50000
Sandshrew,65.3,27,ground,none,118.5,113.4,127,1706968,50,Mud Shot,Rock Slide,Sand Tomb,5,5,3,50000
Slowking,65.2,199,water,psychic,113.4,120.9,143,1961133,22,Confusion,Psychic,Blizzard,5,7,3,50000
Yanma,65.2,193,bug,flying,131.6,87.4,148,1702917,48.5,Wing Attack,Silver Wind,Aerial Ace,7,7,3,50000
Omanyte,65.1,138,rock,water,129.2,131.7,102,1735737,44.5,Mud Shot,Rock Blast,Ancient Power,5,5,5,75000
Unfezant,65.1,521,normal,flying,139.2,96.2,120,1606547,20,Air Slash,Sky Attack,Hyper Beam,5,9,1,10000
